speaker_party,health_mentioned,health_topics
S&D,True,"['public health', 'healthcare systems', 'health policies', 'disease control', 'pandemic', 'COVID-19']"
Greens/EFA,True,"['economic impact', 'social inequality', 'public health']"
S&D,,[]
PPE,True,"['COVID-19', 'public health issues', 'healthcare systems']"
ID,,[]
PPE,,"['fishing', 'economic impact', 'ecological impact', 'species preservation']"
PPE,,[]
S&D,,[]
Greens/EFA,,"['climate change', 'forest health', 'environmental protection']"
S&D,,"['fraud', 'security threats', 'criminal abuses']"
S&D,,[]
GUE/NGL,,[]
S&D,,[]
ALDE,,[]
Greens/EFA,True,"['public health', 'vaccination', 'animal welfare', 'healthcare systems']"
PPE,,[]
GUE/NGL,,"['biodiversity loss', 'pesticides', 'genetically modified organisms']"
ALDE,,[]
S&D,,[]
GUE/NGL,,[]
PPE,True,"['public health', 'healthcare', 'poisoning', 'recovery', 'hospital']"
ECR,,[]
ID,True,"['COVID-19', 'public health issues', 'health policies']"
GUE/NGL,,[]
S&D,,[]
ID,,[]
NI,,[]
Greens/EFA,True,"['public health', 'healthcare systems', 'vaccination', 'health policies', 'disease control', 'public health emergency']"
PPE,True,"['COVID-19 pandemic', 'social and health care systems', 'public health', 'healthcare']"
ID,,"['safety', 'borders']"
PPE,,[]
PPE,,[]
S&D,,[]
PPE,True,"['COVID-19', 'pandemic', 'economy', 'healthcare systems']"
S&D,True,"['COVID-19', 'public health issues', 'healthcare systems', 'disease control', 'pandemic', 'health policies']"
ECR,,[]
PPE,True,"['gender unemployment', 'poverty', 'wage inequality', 'work-life balance', 'healthcare']"
PPE,,[]
PPE,True,"['COVID-19', 'public health', 'hunger', 'climate change', 'development assistance']"
Greens/EFA,True,"['COVID-19', 'pandemic', 'public health issues', 'disease control', 'healthcare systems']"
Greens/EFA,,[]
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'health emergency', 'disease control', 'health policies']"
S&D,,"['cultural sector', 'democracies', 'economic recovery', 'social recovery', 'climate objectives']"
NI,True,"['human health', 'biodiversity', 'sustainable development goals']"
ECR,,[]
PPE,,[]
ECR,,[]
GUE/NGL,,[]
GUE/NGL,,[]
S&D,True,"['COVID-19', 'public health', 'vaccination', 'healthcare systems', 'hospitals', 'disease control', 'pandemic', 'health policies']"
NI,True,"['COVID-19', 'public health issues', 'healthcare systems', 'health policies', 'pandemic']"
S&D,,[]
GUE/NGL,,[]
S&D,True,"['COVID-19', 'inequalities', 'discrimination', 'public health']"
S&D,,[]
NI,True,"['health policies', 'digital medicine', 'public health']"
ECR,,[]
ECR,True,"['COVID-19', 'public health issues', 'disease control', 'healthcare systems']"
S&D,,[]
ALDE,,[]
S&D,True,"['COVID-19', 'pandemic', 'vaccination', 'public health issues', 'health policies', 'disease control']"
Greens/EFA,,"['climate', 'environment', 'natural disasters', 'economic treaty', 'global boundaries']"
S&D,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'diseases control', 'pandemic', 'health policies']"
S&D,True,"['COVID-19', 'coronary crisis', 'health policies']"
ID,,[]
PPE,True,"['COVID-19', 'public health issues']"
PPE,True,"['medical', 'healthcare']"
ALDE,True,"['pandemic', 'humanitarian aid', 'public health']"
PPE,,[]
S&D,,[]
GUE/NGL,True,"['energy poverty', 'renovation of buildings', 'social tariffs', 'poverty', 'healthcare systems']"
PPE,,[]
ALDE,,[]
GUE/NGL,,[]
Greens/EFA,,"['agriculture', 'food supply', 'regional value chains']"
ECR,,[]
S&D,,"['farmers', 'food standards', 'ecological agriculture']"
ECR,True,"['COVID-19', 'public health issues', 'healthcare systems']"
PPE,,[]
PPE,True,"['public health', 'healthcare systems', 'disease control', 'public health emergency']"
S&D,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'health policies', 'disease control', 'pandemic', 'public health emergency']"
PPE,,[]
ECR,,[]
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'disease control', 'pandemic']"
NI,,[]
GUE/NGL,,"['biodiversity', 'agriculture', 'nature farms']"
S&D,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
S&D,True,"['recovery plan', 'European Pillar of Social Rights', 'economic recovery', 'poverty', 'European Union of Health', 'digital transformation']"
S&D,True,"['climate neutrality', 'emission reduction', 'infrastructure renewal', 'social justice', 'inequalities', 'transition']"
ID,True,"['health policies', 'public health emergency', 'healthcare systems', 'COVID-19']"
Greens/EFA,,"['climate change', 'ecological disasters', 'human impact']"
ALDE,,[]
PPE,,[]
Greens/EFA,True,"['public health', 'healthcare systems', 'pandemic', 'disease control', 'public health emergency']"
ECR,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
PPE,,[]
ID,,[]
Greens/EFA,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'disease control', 'pandemic', 'public health emergency']"
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'disease control', 'pandemic', 'health policies']"
S&D,,"['fishing', 'TAC', 'quotas']"
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'health care systems', 'public health emergency', 'disease control']"
ID,True,"['COVID-19', 'vaccination', 'public health issues', 'healthcare systems', 'disease control', 'health policies']"
S&D,True,"['COVID-19', 'public health issues', 'pandemic', 'health crisis', 'disinformation']"
ID,True,"['economic crisis', 'Green Deal', 'industry', 'healthcare systems', 'economy']"
ECR,,[]
PPE,,[]
PPE,,[]
S&D,True,"['COVID-19', 'pandemic', 'public health', 'vaccine', 'well-being', 'health policies']"
PPE,,[]
Greens/EFA,,"['consumer protection', 'vulnerable consumers', 'sustainable choices']"
ALDE,,[]
ALDE,,[]
S&D,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
ECR,,[]
PPE,,"['migration crisis', 'asylum', 'migration policy']"
NI,True,"['COVID-19', 'vaccines', 'public health', 'healthcare systems', 'health policies', 'disease control']"
NI,,[]
ID,,[]
ALDE,True,"['post-COVID recovery', 'healthcare systems', 'public health']"
ECR,True,"['public health', 'health policies', 'treatment', 'drugs', 'pollutants', 'addiction']"
ECR,,"['debt', 'taxation', 'economic principles']"
ALDE,True,"['health crisis', 'elderly health', 'public health', 'health policies']"
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'disease control', 'pandemic']"
GUE/NGL,,"['social goals', 'environmental goals']"
S&D,True,"['coronavirus', 'health', 'crisis management', 'public health']"
Greens/EFA,,[]
GUE/NGL,True,"['public health', 'pandemic', 'health policies']"
ECR,,[]
S&D,,[]
ECR,True,"['COVID-19', 'public health', 'health security', 'health policies', 'health of citizens']"
GUE/NGL,True,"['COVID-19', 'public health systems', 'vaccination', 'health policies', 'healthcare systems', 'disease control', 'pandemic', 'health emergency']"
S&D,True,"['life and health', 'vulnerable', 'recovery', 'health policies']"
Greens/EFA,True,"['COVID-19', 'public health issues', 'healthcare systems', 'disease control', 'pandemic']"
GUE/NGL,,[]
NI,True,"['public health', 'healthcare systems', 'disease control', 'public health emergency']"
Greens/EFA,True,"['COVID-19', 'public health issues', 'pandemic', 'health policies', 'healthcare systems']"
ID,,[]
NI,,[]
S&D,True,"['pandemic', 'economic recovery', 'climate change', 'public health']"
ALDE,True,"['housing and health', 'public health', 'health systems', 'health situations', 'health']"
S&D,,[]
Greens/EFA,,[]
PPE,,[]
PPE,,"['human rights', 'sanctions']"
ID,,[]
Greens/EFA,True,"['COVID-19', 'public health issues', 'healthcare systems', 'disease control', 'pandemic']"
S&D,,[]
S&D,True,"['public health', 'healthcare systems', 'crisis']"
ALDE,,[]
PPE,,"['asylum seekers', 'refugees', 'vulnerable populations', 'migration policy', 'border procedures']"
Greens/EFA,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
NI,,"['forest management', 'sustainable forest management', 'bioeconomy', 'environmental protection']"
ID,,[]
ALDE,,[]
ID,True,"['public health', 'healthcare systems', 'disease control', 'pandemic', 'vaccination', 'COVID-19']"
Greens/EFA,True,"['public health systems', 'healthcare', 'COVID-19', 'health policies']"
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
PPE,True,"['COVID-19', 'public health', 'health policies']"
GUE/NGL,,[]
ECR,,[]
S&D,True,"['COVID-19', 'health crisis', 'public health', 'healthcare systems', 'medical equipment', 'medical staff', 'disease control']"
ECR,,[]
S&D,True,"['public health', 'healthcare systems', 'terrorism', 'organized crime', 'drugs', 'child sexual abuse']"
PPE,True,"['refugees', 'children', 'hunger', 'healthcare']"
ECR,,[]
ID,,[]
Greens/EFA,True,"['COVID-19', 'public health issues', 'healthcare systems', 'health safety measures', 'vaccination']"
Greens/EFA,True,"['COVID-19', 'public health issues', 'healthcare systems', 'disease control']"
ECR,,[]
ALDE,,[]
ALDE,,[]
ECR,,[]
ID,,[]
ALDE,True,"['public health', 'social policy', 'vulnerable populations', 'healthcare systems']"
S&D,True,"['COVID-19', 'public health', 'vaccination', 'healthcare systems', 'health']"
S&D,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
ID,True,"['COVID-19', 'public health issues', 'health emergency', 'health policies', 'disease control']"
ID,,"['migration', 'border security', 'economic sanctions']"
PPE,,[]
GUE/NGL,,[]
S&D,,[]
ALDE,True,"['COVID-19', 'public health', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
S&D,,[]
PPE,,[]
ALDE,True,"['health crisis', 'economic challenges', 'health policies', 'healthcare systems']"
PPE,True,"['COVID-19', 'vaccination', 'public health issues', 'healthcare systems', 'disease control', 'pandemic']"
S&D,True,"['healthcare systems', 'hospitals', 'public health issues', 'disease control', 'COVID-19']"
S&D,True,"['pandemic', 'public health issues']"
ECR,,[]
S&D,,[]
ID,True,"['COVID-19', 'public health issues', 'healthcare systems', 'disease control', 'pandemic']"
ALDE,,"['biodiversity', 'environmental challenges', 'ecosystems', 'extinction', 'habitat restoration']"
GUE/NGL,True,"['cohesion funds', 'divergence', 'integration', 'public health']"
ECR,,[]
ALDE,,[]
PPE,,[]
ECR,,[]
PPE,,[]
ECR,,[]
PPE,True,"['COVID-19', 'public health issues', 'healthcare systems', 'disease control', 'pandemic']"
ALDE,,[]
NI,,[]
PPE,,[]
PPE,True,"['human health', 'healthy food', 'environmental burden']"
ALDE,True,"['public health crises', 'COVID-19', 'healthcare systems', 'health policies']"
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control']"
ECR,,[]
NI,,[]
ALDE,True,"['human rights', 'public health', 'student wellbeing', 'prisoner health']"
PPE,True,"['COVID-19', 'public health', 'vaccination', 'healthcare systems']"
S&D,,[]
S&D,,[]
ECR,,[]
PPE,,[]
NI,True,"['COVID-19', 'public health issues', 'healthcare systems', 'disease control']"
ID,,[]
ID,,[]
S&D,True,"['COVID-19', 'public health', 'vaccination', 'healthcare systems', 'health policies', 'disease control', 'pandemic', 'public health emergency']"
ECR,,"['Venezuela', 'human rights', 'economic situation']"
GUE/NGL,,[]
PPE,,"['agriculture', 'environment', 'climate change', 'pesticides', 'antibiotics', 'biodiversity', 'animal well-being']"
S&D,True,"['COVID-19', 'coronavirus recession', 'crisis situations', 'health policies']"
ECR,,[]
Greens/EFA,,[]
S&D,True,"['conflict of interest', 'prevention', 'healthcare systems', 'public health issues']"
PPE,,[]
S&D,True,"['COVID-19', 'public health', 'health impacts', 'health policies', 'pandemic', 'disease control']"
ID,,[]
PPE,,[]
Greens/EFA,True,"['health', 'social policies', 'healthcare access']"
GUE/NGL,,[]
PPE,,[]
ID,,"['green transition', 'green policies', 'climate change']"
GUE/NGL,True,"['excess winter deaths', 'health service', 'virus', 'clinical trials', 'containment', 'public health']"
PPE,True,"['COVID-19', 'healthcare systems', 'public health issues']"
GUE/NGL,,"['economic policy', 'inequalities', 'climate crisis', 'innovation', 'Green Deal']"
S&D,,[]
S&D,,[]
S&D,,"['energy poverty', 'green leadership', 'clean energy']"
PPE,,"['pandemic', 'public health issues', 'trade policy', 'healthcare systems']"
GUE/NGL,,"['worker rights', 'trade union representatives', 'environmental impact', 'tax evasion', 'consumer rights']"
ID,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic']"
PPE,,[]
ECR,True,"['coronavirus epidemic', 'public health issues', 'healthcare systems']"
NI,,[]
Greens/EFA,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'disease control', 'pandemic', 'health policies']"
PPE,,[]
ECR,,[]
ECR,,"['budget', 'healthcare systems', 'public health issues']"
Greens/EFA,,[]
